id,title,artist,year,audio_url,release data
zdawscxeq,Don't wake me up!,WONHO,2026,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/LONGER_WONHO%20dont%20wake%20me%20up.mp3,2026-07-21
eaqdzwcxs,Do your dance,RIIZE,2026,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_RIIZE%20-%20Do%20your%20dance%20(SPOTISAVER).mp3,2026-06-15
adwqczwse,LOUD,NMIXX,2026,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_NMIXX%20-%20LOUD%20(SPOTISAVER).mp3,2026-05-11
adxzsqecx,Adrenaline,ATEEZ,2026,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_ATEEZ%20-%20Adrenaline%20(SPOTISAVER).mp3,2026-02-06
zsewdxcaq,404 (New Era),KiiiKiii,2026,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_KiiiKiii%20-%20404%20(New%20Era)%20(SPOTISAVER).mp3,2026-01-26
edcqwazxq,HYPONOTIZE,XG,2026,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_XG%20-%20HYPNOTIZE%20(SPOTISAVER).mp3,2026-01-23
wsxedczq,FOCUS,Hearts2Hearts,2025,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_Hearts2Hearts%20-%20FOCUS%20(SPOTISAVER).mp3,2025-10-20
wdxzaesqc,Plot Twist,AtHeart,2025,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_AtHeart%20-%20Plot%20Twist%20(SPOTISAVER).mp3,2025-08-13
ewazxdswd,r u ok?,ifeye,2025,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_ifeye%20-%20r%20u%20ok%20(SPOTISAVER).mp3,2025-07-16
qscdewazx,1&Only,XLOV,2025,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_XLOV%20-%201&Only%20(SPOTISAVER).mp3,2025-06-13
asxdwazx,GIMME GIMME,ALL (H)OURS,2025,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_ALL(H)OURS%20-%20GIMME%20GIMME%20(SPOTISAVER).mp3,2025-02-04
qweszxdsas,Super Tuna,Jin,2024,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_Jin%20-%20Super%20Tuna%20(SPOTISAVER).mp3,2024-10-11
qwsdaszx,Debut,KATSEYE,2024,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/KATSEYE%20-%20%20Debut%20-%202024.mp3,2024-06-28
qwedxscq,SHEESH,BABYMONSTER,2024,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/BABYMONSTER%20-%20SHEESH%20-%202024.mp3,2024-04-01
qeaczxdwa,Magnetic,ILLIT,2024,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_ILLIT%20-%20Magnetic%20-%202024.mp3,2024-03-25
qdzwsaceqw,Sweet Dreams + When We Disco + Take On Me + Changed Man (live performance),J.Y. Park,2023,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/JYP%20-%20Sweet%20Dreams%20-%202024.mp3,2023-11-24
wwdqaxzcxq,PARANOIA,HEARTSTEEL,2023,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_HEARTSTEEL%20-%20PARANOIA%20-%202023.mp3,2023-10-23
edcxszaqd,Eyes Roll,i-dle,2023,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_i-dle%20-%20Eyes%20roll%20-%202023.mp3,2023-10-05
cexzaqwcx,"BOUNCY ","ATEEZ ",2023,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/ATEEZ%20-%20BOUNCY%20-%202023.mp3,2023-06-16
qsceszawdx,set_me_free_pt.2,Jimin,2023,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/Jimin%20-%20set%20me%20free%20pt.2%20-%202023.mp3,2023-03-17
zseawqdcx,CASE 143,Stray Kids,2022,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_Stray%20Kids%20-%20CASE%20143%20(SPOTISAVER).mp3,2022-10-07
wadqexada,Attention,NewJeans,2022,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_NewJeans%20-%20Attention%20(SPOTISAVER).mp3,2022-08-01
qscedwazx,The World Is My Oyster,LE SERRAFIM,2022,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_LE%20SSERAFIM%20-%20The%20World%20Is%20My%20Oyster%20(SPOTISAVER).mp3,2022-05-02
qcwadxzsc,eleven,IVE,2021,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/IVE%20-%20Eleven%20-%202021.mp3,2021-12-01
wadsczawq,next_level,Aespa,2021,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/Aespa%20-%20Next%20Level%20-%202021.mp3,2021-05-17
dwascxzwq,"Lilac ",IU,2021,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/IU%20-%20Lilac%20-%202021.mp3,2021-03-25
qwedsawqasd,SIREN,"P1Harmony ",2020,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_P1Harmony%20-%20SIREN%20(SPOTISAVER).mp3,2020-10-28
wecawazaw,MORE,"K/DA, Madison Beer, i-dle, Lexie Liu, Jaira Burns, Seraphine, League of Legends",2020,"https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_K%20DA,%20Madison%20Beer,%20i-dle%20-%20MORE%20(SPOTISAVER).mp3",2020-10-28
wdcxzaadwq,Open Mind,WONHO,2020,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_WONHO%20-%20Open%20Mind%20(SPOTISAVER).mp3,2020-09-04
zxcqwedasz,Still With You,Jung Kook,2020,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/Jung%20Kook%20-%20Still%20with%20you%20-%202020.mp3,2020-06-05
dwasxcwqeq,Jopping,SuperM,2019,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_SuperM%20-%20Jopping%20(SPOTISAVER).mp3,2019-10-04
qdczxaswew,Adios,EVERGLOW,2019,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/EVERGLOW%20-%20Adios%20-%202019.mp3,2019-08-19
dwaxczsdq,Blue Orangeade,TOMORROW X TOGETHER,2019,https://ubctfbvdvxygarbqebzc.supabase.co/storage/v1/object/public/songs/PrivaDeck_TOMORROW%20X%20TOGETHER%20-%20Blue%20Orangeade%20(SPOTISAVER).mp3,2019-03-04
